current_image,is_repeat,trial_index,is_blank_trial,is_new_run,run_num,all_blanks_list
images/24_40 copy 2.jpg,0,0,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/pair05 copy 3.jpg,0,1,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/pair06 copy 6.jpg,0,2,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/22_28 copy 4.jpg,0,3,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/22_40.jpg,0,4,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/pair01.jpg,0,5,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/pair11 copy 3.jpg,0,6,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/9_0 copy 5.jpg,0,7,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/pair18 copy 3.jpg,0,8,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/blank.jpg,0,9,1,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/12_0 copy 5.jpg,0,10,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/pair11 copy 7.jpg,0,11,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/24_40.jpg,0,12,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/20_0 copy 3.jpg,0,13,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/15_12 copy 2.jpg,0,14,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/12_0.jpg,0,15,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/20_0 copy 3.jpg,0,16,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/13_28.jpg,0,17,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/15_40 copy.jpg,0,18,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/blank.jpg,0,19,1,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/pair06 copy.jpg,0,20,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/20_40 copy 4.jpg,0,21,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/10_40 copy 3.jpg,0,22,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/17_12 copy 3.jpg,0,23,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/23_0 copy 7.jpg,0,24,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/23_40 copy 6.jpg,0,25,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/19_28 copy 6.jpg,0,26,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/5_28 copy 2.jpg,0,27,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/18_0 copy 3.jpg,0,28,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/blank.jpg,0,29,1,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/9_28 copy 7.jpg,0,30,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/6_40 copy 2.jpg,0,31,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/23_40 copy 7.jpg,0,32,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/22_40 copy 6.jpg,0,33,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/5_0 copy 7.jpg,0,34,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/13_28 copy 5.jpg,0,35,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/19_0.jpg,0,36,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/pair04.jpg,0,37,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/13_0 copy 2.jpg,0,38,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/blank.jpg,0,39,1,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/16_12.jpg,0,40,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/21_28 copy 6.jpg,0,41,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/20_28 copy 7.jpg,0,42,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/9_40 copy 3.jpg,0,43,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/pair14 copy 3.jpg,0,44,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/24_0.jpg,0,45,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/10_40 copy 7.jpg,0,46,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/12_40.jpg,0,47,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/22_28 copy.jpg,0,48,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/blank.jpg,0,49,1,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/7_0 copy 5.jpg,0,50,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/15_40 copy 4.jpg,0,51,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/11_12 copy 7.jpg,0,52,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/6_28.jpg,0,53,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/23_12 copy 3.jpg,0,54,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/15_0.jpg,0,55,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/8_28 copy 2.jpg,0,56,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/pair08 copy 4.jpg,0,57,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/9_0 copy 7.jpg,0,58,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/blank.jpg,0,59,1,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/12_0 copy 7.jpg,0,60,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/pair06.jpg,0,61,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/pair11 copy.jpg,0,62,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
