current_image,is_repeat,trial_index,is_blank_trial,is_new_run,run_num,loop_all_images.thisRepN,loop_all_images.thisTrialN,loop_all_images.thisN,loop_all_images.thisIndex,thisRow.t,notes,waiting_fmri.started,key_resp_2.started,text_3.started,waiting_fmri.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,set_up.started,set_up.stopped,instructions.started,text.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,trial.stopped,press_if_repeat.keys,blank_trial.started,key_resp_3.started,polygon_2.started,blank_trial.stopped,key_resp_3.keys,block.started,block.stopped,polygon.started,image.started,press_if_repeat.started,image.stopped,press_if_repeat.stopped,polygon.stopped,press_if_repeat.rt,press_if_repeat.duration,key_resp_3.stopped,polygon_2.stopped,text_2.started,text_2.stopped,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.036521177000395255,0.04770334799832199,0.04770334799832199,4.006898020001245,5,3.958314392999455,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-03-13_14h31.19.567,replicate_nsd,2023.2.3,60.43707853494269,2024-03-13 14h31.26.945452 -0400,
,,,,,,,,,,,,,,,,,,,4.006922753000254,4.006971120001253,4.006979425997997,4.023368115998892,4.023368115998892,4.723615872000664,space,0.6986847799998941,None,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-03-13_14h31.19.567,replicate_nsd,2023.2.3,60.43707853494269,2024-03-13 14h31.26.945452 -0400,
images/blank.jpg,0,0,1,1,0,0,0,0,0,4.813306255000498,,,,,,,,,,,,,,,,,,4.76624574699963,4.772711591998814,None,4.773590228000103,4.813306255000498,4.813306255000498,8.757124571999157,None,8.758186352999473,8.758243590000347,,,,,,,,,,,,,,,1,001,2024-03-13_14h31.19.567,replicate_nsd,2023.2.3,60.43707853494269,2024-03-13 14h31.26.945452 -0400,
images/blank.jpg,0,1,1,0,0,0,1,1,1,8.773503798998718,,,,,,,,,,,,,,,,,,8.758567269000196,8.761490476998006,None,8.761641867000435,8.773503798998718,8.773503798998718,12.74863947799895,None,12.748783463997825,12.748814324000705,,,,,,,,,,,,,,,1,001,2024-03-13_14h31.19.567,replicate_nsd,2023.2.3,60.43707853494269,2024-03-13 14h31.26.945452 -0400,
images/blank.jpg,0,2,1,0,0,0,2,2,2,12.759495311998762,,,,,,,,,,,,,,,,,,12.749011699997936,12.750906073000806,None,12.750993628000288,12.759495311998762,12.759495311998762,16.742263965999882,None,16.742471811998257,16.742516491998686,,,,,,,,,,,,,,,1,001,2024-03-13_14h31.19.567,replicate_nsd,2023.2.3,60.43707853494269,2024-03-13 14h31.26.945452 -0400,
images/6_12 copy.jpg,0,3,0,0,0,0,3,3,3,16.75864907799769,,,,,,,,,,,,,,,,,,16.742821774998447,20.757111848000932,None,20.757326875998842,,,20.75737018200016,None,20.757495560999814,20.757535695000115,16.75864907799769,17.74248278599771,17.74248278599771,20.756966230997932,20.756966230997932,,,,,,,,,,1,001,2024-03-13_14h31.19.567,replicate_nsd,2023.2.3,60.43707853494269,2024-03-13 14h31.26.945452 -0400,
images/11_28 copy 3.jpg,0,4,0,0,0,0,4,4,4,20.77379301199835,,,,,,,,,,,,,,,,,,20.757820525999705,24.756931338000868,None,24.757103030999133,,,24.757134665000194,None,24.757233960997837,24.75726548199964,20.77379301199835,21.75849648499934,21.75849648499934,24.772672683000565,24.772672683000565,24.772672683000565,,,,,,,,,1,001,2024-03-13_14h31.19.567,replicate_nsd,2023.2.3,60.43707853494269,2024-03-13 14h31.26.945452 -0400,
images/19_12 copy 3.jpg,0,5,0,0,0,0,5,5,5,24.772672683000565,,,,,,,,,,,,,,,,,,24.75749964300121,28.755627217000438,None,28.75577254000018,,,28.755804389998957,None,28.755905334997806,28.755936778998148,24.772672683000565,25.756281067999225,25.756281067999225,28.744771289999335,28.744771289999335,28.763856128000043,,,,,,,,,1,001,2024-03-13_14h31.19.567,replicate_nsd,2023.2.3,60.43707853494269,2024-03-13 14h31.26.945452 -0400,
images/24_40 copy 7.jpg,0,6,0,0,0,0,6,6,6,28.763856128000043,,,,,,,,,,,,,,,,,,28.75617517700084,32.746659091000765,None,32.74680571600038,,,32.74683723899943,None,32.74693851399934,32.74696985300034,28.763856128000043,29.742519170999003,29.742519170999003,32.73024452499885,32.73024452499885,32.75823320299969,,,,,,,,,1,001,2024-03-13_14h31.19.567,replicate_nsd,2023.2.3,60.43707853494269,2024-03-13 14h31.26.945452 -0400,
images/pair02 copy.jpg,0,7,0,0,0,0,7,7,7,32.75823320299969,,,,,,,,,,,,,,,,,,32.747198426997784,36.74334045199794,None,36.743445275998965,,,36.743466418000025,None,36.74353584799974,36.74355815799936,32.75823320299969,33.73818023199783,33.73818023199783,36.72466059499857,36.72466059499857,36.75063841700103,,,,,,,,,1,001,2024-03-13_14h31.19.567,replicate_nsd,2023.2.3,60.43707853494269,2024-03-13 14h31.26.945452 -0400,
images/pair18 copy 5.jpg,0,8,0,0,0,0,8,8,8,36.75063841700103,,,,,,,,,,,,,,,,,,36.74371817900101,40.73550582000098,None,40.7356808379991,,,40.73571577799885,None,40.735824079998565,40.735857691001,36.75063841700103,37.73108161399796,37.73108161399796,40.71996427799968,40.71996427799968,40.744441350998386,,,,,,,,,1,001,2024-03-13_14h31.19.567,replicate_nsd,2023.2.3,60.43707853494269,2024-03-13 14h31.26.945452 -0400,
