current_image,is_repeat,trial_index,is_blank_trial,is_new_run,run_num,loop_all_images.thisRepN,loop_all_images.thisTrialN,loop_all_images.thisN,loop_all_images.thisIndex,thisRow.t,notes,waiting_fmri.started,key_resp_2.started,text_3.started,waiting_fmri.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,set_up.started,set_up.stopped,instructions.started,text.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,trial.stopped,press_if_repeat.keys,blank_trial.started,key_resp_3.started,polygon_2.started,blank_trial.stopped,key_resp_3.keys,block.started,block.stopped,key_resp_3.stopped,polygon_2.stopped,polygon.started,image.started,press_if_repeat.started,image.stopped,press_if_repeat.stopped,polygon.stopped,press_if_repeat.rt,press_if_repeat.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.0392385090017342,0.048527144001127454,0.048527144001127454,13.509595550000085,5,13.450124080001842,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-03-13_19h06.11.182,replicate_nsd,2023.2.3,60.07526686123725,2024-03-13 19h06.22.825284 -0400,
,,,,,,,,,,,,,,,,,,,13.509611097000743,13.509646733000409,13.509652043998358,13.523635148001631,13.523635148001631,14.4405849270006,space,0.9104632300004596,None,,,,,,,,,,,,,,,,,,,,,1,001,2024-03-13_19h06.11.182,replicate_nsd,2023.2.3,60.07526686123725,2024-03-13 19h06.22.825284 -0400,
images/blank.jpg,0,0,1,0,0,0,0,0,0,14.518138543000532,,,,,,,,,,,,,,,,,,14.478933708000113,14.483024842000304,None,14.483421404998808,14.518138543000532,14.518138543000532,18.473790284999268,None,18.47440018600173,18.47443111499888,,,,,,,,,,,1,001,2024-03-13_19h06.11.182,replicate_nsd,2023.2.3,60.07526686123725,2024-03-13 19h06.22.825284 -0400,
images/blank.jpg,0,1,1,0,0,0,1,1,1,18.49040107700057,,,,,,,,,,,,,,,,,,18.474613114998647,18.476668203998997,None,18.476752878999832,18.49040107700057,18.49040107700057,22.459542968001188,None,22.45966842499911,22.459692176998942,,,,,,,,,,,1,001,2024-03-13_19h06.11.182,replicate_nsd,2023.2.3,60.07526686123725,2024-03-13 19h06.22.825284 -0400,
images/blank.jpg,0,2,1,0,0,0,2,2,2,22.47377852000136,,,,,,,,,,,,,,,,,,22.459868842001015,22.461542780001764,None,22.461628319000738,22.47377852000136,22.47377852000136,26.46142710500135,None,26.461566234000202,26.461591311999655,26.474266124001588,26.474266124001588,,,,,,,,,1,001,2024-03-13_19h06.11.182,replicate_nsd,2023.2.3,60.07526686123725,2024-03-13 19h06.22.825284 -0400,
images/11_12.jpg,0,3,0,0,0,0,3,3,3,26.474266124001588,,,,,,,,,,,,,,,,,,26.461772095000924,30.458239069001138,None,30.458374227000604,,,30.458398497001326,None,30.458469469998818,30.45849106300011,,,26.474266124001588,27.47367815599864,27.47367815599864,30.47439606899934,30.47439606899934,30.47439606899934,,,1,001,2024-03-13_19h06.11.182,replicate_nsd,2023.2.3,60.07526686123725,2024-03-13 19h06.22.825284 -0400,
images/23_12 copy 3.jpg,0,4,0,0,0,0,4,4,4,30.47439606899934,,,,,,,,,,,,,,,,,,30.458661798998946,34.45780166999975,None,34.457946883998375,,,34.45797336900068,None,34.458061146000546,34.45808632999979,,,30.47439606899934,31.457269763999648,31.457269763999648,34.45761599099933,34.45761599099933,34.47441626900036,,,1,001,2024-03-13_19h06.11.182,replicate_nsd,2023.2.3,60.07526686123725,2024-03-13 19h06.22.825284 -0400,
images/14_40 copy.jpg,0,5,0,0,0,0,5,5,5,34.47441626900036,,,,,,,,,,,,,,,,,,34.45827659299903,38.45749553100177,None,38.4576361440013,,,38.45766042299874,None,38.45774526400055,38.45776678900074,,,34.47441626900036,35.457038675998774,35.457038675998774,38.45731929899921,38.45731929899921,38.473787424001785,,,1,001,2024-03-13_19h06.11.182,replicate_nsd,2023.2.3,60.07526686123725,2024-03-13 19h06.22.825284 -0400,
images/12_40 copy 3.jpg,0,6,0,0,0,0,6,6,6,38.473787424001785,,,,,,,,,,,,,,,,,,38.457995854998444,42.45727359900047,1,42.4579272100018,,,42.45795962500051,None,42.4580503319994,42.458072836998326,,,38.473787424001785,39.45753194899953,39.45753194899953,42.45709480699952,42.45709480699952,42.473931528998946,1.8425208759981615,None,1,001,2024-03-13_19h06.11.182,replicate_nsd,2023.2.3,60.07526686123725,2024-03-13 19h06.22.825284 -0400,
images/17_40 copy 2.jpg,0,7,0,0,0,0,7,7,7,42.473931528998946,,,,,,,,,,,,,,,,,,42.458238539999,46.45683060100055,None,46.456944269000815,,,46.456967047000944,None,46.45703840799979,46.457058517000405,,,42.473931528998946,43.45696230199974,43.45696230199974,46.45668693100015,46.45668693100015,46.47348637599862,,,1,001,2024-03-13_19h06.11.182,replicate_nsd,2023.2.3,60.07526686123725,2024-03-13 19h06.22.825284 -0400,
,,,,,,,,,,46.47348637599862,,,,,,,,,,,,,,,,,,46.45722386399939,,,,,,,,,,,,46.47348637599862,47.45721085599871,47.45721085599871,,,,,,,,,,,,,
